Emp_id,First_Name,Last_Name,Emp_name,Email,Gender,Address,Department,Salary
1,Jose,Lopez,Jose Lopez,joselopez0944@slingacademy.com,male,Germany,Product,8500
2,Diane,Carter,Diane Carter,dianecarter1228@slingacademy.com,female,Germany,Product,7000
3,Shawn,Foster,Shawn Foster,shawnfoster2695@slingacademy.com,male,Germany,Product,17000
4,Brenda,Fisher,Brenda Fisher,brendafisher3185@slingacademy.com,female,USA,Product,10000
5,Sean,Hunter,Sean Hunter,seanhunter4753@slingacademy.com,male,France,Product,14500
6,Joshua,Jacobs,Joshua Jacobs,joshuajacobs5904@slingacademy.com,male,Germany,Product,10500
7,Brianna,Marshall,Brianna Marshall,briannamarshall6438@slingacademy.com,female,France,Product,11000
8,John,Tate,John Tate,johntate7881@slingacademy.com,male,France,Product,11000
9,Jillian,Byrd,Jillian Byrd,jillianbyrd8170@slingacademy.com,female,Russia,Product,11000
10,Melanie,Sharp,Melanie Sharp,melaniesharp9256@slingacademy.com,female,Germany,Product,14500
11,Brandy,Mckee,Brandy Mckee,brandymckee10500@slingacademy.com,female,USA,Product,14000
12,Robert,Simpson,Robert Simpson,robertsimpson11778@slingacademy.com,male,Russia,Product,15000
13,George,Mckenzie,George Mckenzie,georgemckenzie12384@slingacademy.com,male,Russia,Product,10000
14,Joseph,Smith,Joseph Smith,josephsmith13724@slingacademy.com,male,Russia,Product,14000
15,Dana,Crawford,Dana Crawford,danacrawford14310@slingacademy.com,female,Russia,Product,12000
16,Christopher,Benson,Christopher Benson,christopherbenson15937@slingacademy.com,male,Russia,Product,7500
17,Nicole,Smith,Nicole Smith,nicolesmith16360@slingacademy.com,female,Germany,Product,10000
18,Peter,Jimenez,Peter Jimenez,peterjimenez17791@slingacademy.com,male,Germany,Product,6500
19,Sergio,Boyle,Sergio Boyle,sergioboyle18425@slingacademy.com,male,Russia,Product,9000
20,Brianna,Moss,Brianna Moss,briannamoss19517@slingacademy.com,female,USA,Product,10500
21,Taylor,Garner,Taylor Garner,taylorgarner20196@slingacademy.com,female,Russia,Product,11000
22,Michael,Padilla,Michael Padilla,michaelpadilla21381@slingacademy.com,male,USA,Product,9500
23,Yvette,Walker,Yvette Walker,yvettewalker22744@slingacademy.com,female,Russia,Product,7000
24,Kristina,Pena,Kristina Pena,kristinapena23750@slingacademy.com,female,Russia,Product,12500
25,Vanessa,Reynolds,Vanessa Reynolds,vanessareynolds24710@slingacademy.com,female,Germany,Product,13000
26,Robert,Suarez,Robert Suarez,robertsuarez25924@slingacademy.com,male,France,Product,9500
27,Tammy,Ellis,Tammy Ellis,tammyellis26570@slingacademy.com,female,France,Human Resource,14000
28,Rodney,Porter,Rodney Porter,rodneyporter27496@slingacademy.com,male,Germany,Product,9500
29,David,Reyes,David Reyes,davidreyes28592@slingacademy.com,male,Russia,Product,7000
30,Brian,Kirby,Brian Kirby,briankirby29574@slingacademy.com,male,France,Product,10000
31,Tammy,Walker,Tammy Walker,tammywalker30386@slingacademy.com,female,USA,Product,8500
32,Angela,Stewart,Angela Stewart,angelastewart31951@slingacademy.com,female,Russia,Human Resource,10000
